,date,beds,cases,vacc,cases_7day
0,2020-04-01,1478.0,1031.0,0.0,1031.0
1,2020-04-02,1635.0,1268.0,0.0,1149.5
2,2020-04-03,1593.0,1280.0,0.0,1193.0
3,2020-04-04,1623.0,1149.0,0.0,1182.0
4,2020-04-05,1936.0,765.0,0.0,1098.6
5,2020-04-06,2049.0,1159.0,0.0,1108.6666666666667
6,2020-04-07,2199.0,1005.0,0.0,1093.857142857143
7,2020-04-08,2150.0,1046.0,0.0,1096.0
8,2020-04-09,2091.0,1033.0,0.0,1062.4285714285713
9,2020-04-10,2168.0,1089.0,0.0,1035.142857142857
10,2020-04-11,2234.0,1063.0,0.0,1022.8571428571429
11,2020-04-12,2174.0,809.0,0.0,1029.142857142857
12,2020-04-13,2651.0,923.0,0.0,995.4285714285714
13,2020-04-14,2622.0,592.0,0.0,936.4285714285714
14,2020-04-15,2622.0,900.0,0.0,915.5714285714286
15,2020-04-16,3508.0,1198.0,0.0,939.1428571428571
16,2020-04-17,3505.0,1080.0,0.0,937.8571428571429
17,2020-04-18,3125.0,741.0,0.0,891.8571428571429
18,2020-04-19,3271.0,711.0,0.0,877.8571428571429
19,2020-04-20,3369.0,745.0,0.0,852.4285714285714
20,2020-04-21,3645.0,859.0,0.0,890.5714285714286
21,2020-04-22,2773.0,697.0,0.0,861.5714285714286
22,2020-04-23,2846.0,1212.0,0.0,863.5714285714286
23,2020-04-24,2782.0,734.0,0.0,814.1428571428571
24,2020-04-25,2685.0,794.0,0.0,821.7142857142857
25,2020-04-26,2781.0,519.0,0.0,794.2857142857143
26,2020-04-27,2749.0,747.0,0.0,794.5714285714286
27,2020-04-28,2948.0,343.0,0.0,720.8571428571429
28,2020-04-29,3748.0,514.0,0.0,694.7142857142857
29,2020-04-30,3814.0,976.0,0.0,661.0
30,2020-05-01,3737.0,703.0,0.0,656.5714285714286
31,2020-05-02,3616.0,631.0,0.0,633.2857142857143
32,2020-05-03,3670.0,766.0,0.0,668.5714285714286
33,2020-05-04,4068.0,574.0,0.0,643.8571428571429
34,2020-05-05,4159.0,584.0,0.0,678.2857142857143
35,2020-05-06,4058.0,627.0,0.0,694.4285714285714
36,2020-05-07,4144.0,343.0,0.0,604.0
37,2020-05-08,3774.0,771.0,0.0,613.7142857142857
38,2020-05-09,3908.0,680.0,0.0,620.7142857142857
39,2020-05-10,3884.0,383.0,0.0,566.0
40,2020-05-11,3688.0,606.0,0.0,570.5714285714286
41,2020-05-12,3738.0,799.0,0.0,601.2857142857143
42,2020-05-13,3410.0,790.0,0.0,624.5714285714286
43,2020-05-14,2762.0,784.0,0.0,687.5714285714286
44,2020-05-15,3216.0,479.0,0.0,645.8571428571429
45,2020-05-16,3219.0,1136.0,0.0,711.0
46,2020-05-17,3178.0,653.0,0.0,749.5714285714286
47,2020-05-18,3316.0,612.0,0.0,750.4285714285714
48,2020-05-19,3338.0,474.0,0.0,704.0
49,2020-05-20,3424.0,1187.0,0.0,760.7142857142857
50,2020-05-21,3289.0,724.0,0.0,752.1428571428571
51,2020-05-22,3454.0,733.0,0.0,788.4285714285714
52,2020-05-23,3332.0,544.0,0.0,703.8571428571429
53,2020-05-24,3175.0,979.0,0.0,750.4285714285714
54,2020-05-25,3147.0,501.0,0.0,734.5714285714286
55,2020-05-26,3465.0,474.0,0.0,734.5714285714286
56,2020-05-27,3320.0,611.0,0.0,652.2857142857143
57,2020-05-28,3301.0,1220.0,0.0,723.1428571428571
58,2020-05-29,3626.0,751.0,0.0,725.7142857142857
59,2020-05-30,3504.0,870.0,0.0,772.2857142857143
60,2020-05-31,3525.0,699.0,0.0,732.2857142857143
61,2020-06-01,3605.0,602.0,0.0,746.7142857142857
62,2020-06-02,3490.0,1209.0,0.0,851.7142857142857
63,2020-06-03,3497.0,1264.0,0.0,945.0
64,2020-06-04,3445.0,1015.0,0.0,915.7142857142857
65,2020-06-05,3422.0,1242.0,0.0,985.8571428571429
66,2020-06-06,3592.0,1392.0,0.0,1060.4285714285713
67,2020-06-07,3645.0,1029.0,0.0,1107.5714285714287
68,2020-06-08,3652.0,1152.0,0.0,1186.142857142857
69,2020-06-09,3938.0,1244.0,0.0,1191.142857142857
70,2020-06-10,3803.0,1665.0,0.0,1248.4285714285713
71,2020-06-11,3633.0,1633.0,0.0,1336.7142857142858
72,2020-06-12,3614.0,2468.0,0.0,1511.857142857143
73,2020-06-13,3642.0,2131.0,0.0,1617.4285714285713
74,2020-06-14,3656.0,1756.0,0.0,1721.2857142857142
75,2020-06-15,3626.0,2692.0,0.0,1941.2857142857142
76,2020-06-16,3919.0,2429.0,0.0,2110.5714285714284
77,2020-06-17,3947.0,2691.0,0.0,2257.1428571428573
78,2020-06-18,4067.0,3309.0,0.0,2496.5714285714284
79,2020-06-19,4097.0,3993.0,0.0,2714.4285714285716
80,2020-06-20,4228.0,4608.0,0.0,3068.285714285714
81,2020-06-21,4328.0,2746.0,0.0,3209.714285714286
82,2020-06-22,4599.0,3795.0,0.0,3367.285714285714
83,2020-06-23,5004.0,5454.0,0.0,3799.4285714285716
84,2020-06-24,5213.0,4982.0,0.0,4126.714285714285
85,2020-06-25,5356.0,8798.0,0.0,4910.857142857143
86,2020-06-26,5554.0,9510.0,0.0,5699.0
87,2020-06-27,5811.0,8329.0,0.0,6230.571428571428
88,2020-06-28,6029.0,5354.0,0.0,6603.142857142857
89,2020-06-29,6445.0,6013.0,0.0,6920.0
90,2020-06-30,7008.0,6526.0,0.0,7073.142857142857
91,2020-07-01,7424.0,9422.0,0.0,7707.428571428572
92,2020-07-02,7702.0,9298.0,0.0,7778.857142857143
93,2020-07-03,7647.0,11298.0,0.0,8034.285714285715
94,2020-07-04,7980.0,9826.0,0.0,8248.142857142857
95,2020-07-05,8373.0,6217.0,0.0,8371.42857142857
96,2020-07-06,8967.0,7275.0,0.0,8551.714285714286
97,2020-07-07,9791.0,9924.0,0.0,9037.142857142857
98,2020-07-08,9984.0,8860.0,0.0,8956.857142857143
99,2020-07-09,10353.0,11236.0,0.0,9233.714285714286
100,2020-07-10,10444.0,10221.0,0.0,9079.857142857143
101,2020-07-11,10477.0,15122.0,0.0,9836.42857142857
102,2020-07-12,10740.0,12161.0,0.0,10685.57142857143
103,2020-07-13,11296.0,9158.0,0.0,10954.57142857143
104,2020-07-14,11332.0,9966.0,0.0,10960.57142857143
105,2020-07-15,11748.0,13724.0,0.0,11655.42857142857
106,2020-07-16,11586.0,11165.0,0.0,11645.285714285714
107,2020-07-17,11711.0,10139.0,0.0,11633.57142857143
108,2020-07-18,11540.0,12352.0,0.0,11237.857142857143
109,2020-07-19,12280.0,10360.0,0.0,10980.57142857143
110,2020-07-20,11952.0,9227.0,0.0,10990.42857142857
111,2020-07-21,12108.0,9638.0,0.0,10943.57142857143
112,2020-07-22,12282.0,10056.0,0.0,10419.57142857143
113,2020-07-23,11909.0,12266.0,0.0,10576.857142857143
114,2020-07-24,11597.0,11975.0,0.0,10839.142857142857
115,2020-07-25,11784.0,9217.0,0.0,10391.285714285714
116,2020-07-26,11309.0,8775.0,0.0,10164.857142857143
117,2020-07-27,11346.0,9102.0,0.0,10147.0
118,2020-07-28,11182.0,9288.0,0.0,10097.0
119,2020-07-29,10493.0,9795.0,0.0,10059.714285714286
120,2020-07-30,10358.0,8860.0,0.0,9573.142857142857
121,2020-07-31,9940.0,9449.0,0.0,9212.285714285714
122,2020-08-01,10359.0,7027.0,0.0,8899.42857142857
123,2020-08-02,10329.0,4794.0,0.0,8330.714285714286
124,2020-08-03,9953.0,5335.0,0.0,7792.571428571428
125,2020-08-04,9883.0,5406.0,0.0,7238.0
126,2020-08-05,9571.0,7547.0,0.0,6916.857142857143
127,2020-08-06,9298.0,7509.0,0.0,6723.857142857143
128,2020-08-07,9165.0,8301.0,0.0,6559.857142857143
129,2020-08-08,8770.0,6103.0,0.0,6427.857142857143
130,2020-08-09,8649.0,4133.0,0.0,6333.428571428572
131,2020-08-10,8630.0,5743.0,0.0,6391.714285714285
132,2020-08-11,8638.0,8040.0,0.0,6768.0
133,2020-08-12,8455.0,6195.0,0.0,6574.857142857143
134,2020-08-13,8205.0,6076.0,0.0,6370.142857142857
135,2020-08-14,7829.0,6242.0,0.0,6076.0
136,2020-08-15,7530.0,3790.0,0.0,5745.571428571428
137,2020-08-16,7450.0,2669.0,0.0,5536.428571428572
138,2020-08-17,7548.0,3848.0,0.0,5265.714285714285
139,2020-08-18,7309.0,4102.0,0.0,4703.142857142857
140,2020-08-19,7099.0,4518.0,0.0,4463.571428571428
141,2020-08-20,6887.0,4612.0,0.0,4254.428571428572
142,2020-08-21,6512.0,4288.0,0.0,3975.285714285714
143,2020-08-22,6167.0,2988.0,0.0,3860.714285714286
144,2020-08-23,6139.0,2045.0,0.0,3771.5714285714284
145,2020-08-24,6186.0,2724.0,0.0,3611.0
146,2020-08-25,6222.0,3251.0,0.0,3489.4285714285716
147,2020-08-26,6074.0,3161.0,0.0,3295.5714285714284
148,2020-08-27,5841.0,3584.0,0.0,3148.714285714286
149,2020-08-28,5450.0,3108.0,0.0,2980.1428571428573
150,2020-08-29,5271.0,2600.0,0.0,2924.714285714286
151,2020-08-30,5139.0,1679.0,0.0,2872.4285714285716
152,2020-08-31,5195.0,7369.0,0.0,3536.0
153,2020-09-01,5090.0,2495.0,0.0,3428.0
154,2020-09-02,4974.0,3573.0,0.0,3486.8571428571427
155,2020-09-03,4892.0,3195.0,0.0,3431.285714285714
156,2020-09-04,4772.0,3652.0,0.0,3509.0
157,2020-09-05,4565.0,2460.0,0.0,3489.0
158,2020-09-06,4477.0,1861.0,0.0,3515.0
159,2020-09-07,4461.0,1798.0,0.0,2719.1428571428573
160,2020-09-08,4431.0,2316.0,0.0,2693.5714285714284
161,2020-09-09,4579.0,2530.0,0.0,2544.5714285714284
162,2020-09-10,4320.0,3637.0,0.0,2607.714285714286
