date,day_number,beds,cases,vaccines,cases_7day
2020-03-28,737512,90.0,254,0,
2020-03-29,737513,131.0,226,0,226.0
2020-03-30,737514,138.0,130,0,178.0
2020-03-31,737515,126.0,353,0,236.33333333333334
2020-04-01,737516,267.0,283,0,248.0
2020-04-02,737517,354.0,272,0,252.8
2020-04-03,737518,362.0,239,0,250.5
2020-04-04,737519,349.0,258,0,251.57142857142858
2020-04-05,737520,306.0,144,0,239.85714285714286
2020-04-06,737521,471.0,90,0,234.14285714285714
2020-04-07,737522,496.0,293,0,225.57142857142858
2020-04-08,737523,506.0,200,0,213.71428571428572
2020-04-09,737524,417.0,231,0,207.85714285714286
2020-04-10,737525,382.0,172,0,198.28571428571428
2020-04-11,737526,325.0,198,0,189.71428571428572
2020-04-12,737527,314.0,131,0,187.85714285714286
2020-04-13,737528,349.0,66,0,184.42857142857142
2020-04-14,737529,428.0,351,0,192.71428571428572
2020-04-15,737530,451.0,237,0,198.0
2020-04-16,737531,501.0,301,0,208.0
2020-04-17,737532,507.0,229,0,216.14285714285714
2020-04-18,737533,495.0,301,0,230.85714285714286
2020-04-19,737534,453.0,335,0,260.0
2020-04-20,737535,526.0,199,0,279.0
2020-04-21,737536,482.0,680,0,326.0
2020-04-22,737537,485.0,354,0,342.7142857142857
2020-04-23,737538,480.0,395,0,356.14285714285717
2020-04-24,737539,468.0,346,0,372.85714285714283
2020-04-25,737540,486.0,445,0,393.42857142857144
2020-04-26,737541,487.0,208,0,375.2857142857143
2020-04-27,737542,475.0,113,0,363.0
2020-04-28,737543,566.0,417,0,325.42857142857144
2020-04-29,737544,541.0,1063,0,426.7142857142857
2020-04-30,737545,546.0,900,0,498.85714285714283
2020-05-01,737546,451.0,362,0,501.14285714285717
2020-05-02,737547,421.0,383,0,492.2857142857143
2020-05-03,737548,435.0,162,0,485.7142857142857
2020-05-04,737549,430.0,114,0,485.85714285714283
2020-05-05,737550,485.0,359,0,477.57142857142856
2020-05-06,737551,482.0,460,0,391.42857142857144
2020-05-07,737552,528.0,664,0,357.7142857142857
2020-05-08,737553,495.0,684,0,403.7142857142857
2020-05-09,737554,453.0,311,0,393.42857142857144
2020-05-10,737555,442.0,91,0,383.2857142857143
2020-05-11,737556,496.0,67,0,376.57142857142856
2020-05-12,737557,500.0,388,0,380.7142857142857
2020-05-13,737558,536.0,373,0,368.2857142857143
2020-05-14,737559,553.0,400,0,330.57142857142856
2020-05-15,737560,404.0,384,0,287.7142857142857
2020-05-16,737561,399.0,347,0,292.85714285714283
2020-05-17,737562,395.0,215,0,310.57142857142856
2020-05-18,737563,421.0,103,0,315.7142857142857
2020-05-19,737564,432.0,713,0,362.14285714285717
2020-05-20,737565,425.0,467,0,375.57142857142856
2020-05-21,737566,409.0,562,0,398.7142857142857
2020-05-22,737567,427.0,526,0,419.0
2020-05-23,737568,404.0,451,0,433.85714285714283
2020-05-24,737569,404.0,200,0,431.7142857142857
2020-05-25,737570,368.0,152,0,438.7142857142857
2020-05-26,737571,387.0,158,0,359.42857142857144
2020-05-27,737572,430.0,813,0,408.85714285714283
2020-05-28,737573,409.0,660,0,422.85714285714283
2020-05-29,737574,392.0,780,0,459.14285714285717
2020-05-30,737575,378.0,651,0,487.7142857142857
2020-05-31,737576,375.0,271,0,497.85714285714283
2020-06-01,737577,421.0,169,0,500.2857142857143
2020-06-02,737578,444.0,689,0,576.1428571428571
2020-06-03,737579,439.0,524,0,534.8571428571429
2020-06-04,737580,430.0,664,0,535.4285714285714
2020-06-05,737581,432.0,682,0,521.4285714285714
2020-06-06,737582,447.0,496,0,499.2857142857143
2020-06-07,737583,472.0,321,0,506.42857142857144
2020-06-08,737584,498.0,236,0,516.0
2020-06-09,737585,496.0,839,0,537.4285714285714
