date,day_number,beds,cases,vaccines,cases_7day
2020-03-28,737512,27.0,147,0,
2020-03-29,737513,28.0,0,0,0.0
2020-03-30,737514,31.0,232,0,116.0
2020-03-31,737515,76.0,130,0,120.66666666666667
2020-04-01,737516,88.0,199,0,140.25
2020-04-02,737517,87.0,180,0,148.2
2020-04-03,737518,99.0,186,0,154.5
2020-04-04,737519,113.0,196,0,160.42857142857142
2020-04-05,737520,95.0,155,0,182.57142857142858
2020-04-06,737521,138.0,173,0,174.14285714285714
2020-04-07,737522,163.0,138,0,175.28571428571428
2020-04-08,737523,168.0,178,0,172.28571428571428
2020-04-09,737524,156.0,129,0,165.0
2020-04-10,737525,167.0,183,0,164.57142857142858
2020-04-11,737526,165.0,153,0,158.42857142857142
2020-04-12,737527,146.0,120,0,153.42857142857142
2020-04-13,737528,215.0,87,0,141.14285714285714
2020-04-14,737529,224.0,127,0,139.57142857142858
2020-04-15,737530,215.0,166,0,137.85714285714286
2020-04-16,737531,204.0,154,0,141.42857142857142
2020-04-17,737532,224.0,170,0,139.57142857142858
2020-04-18,737533,222.0,154,0,139.71428571428572
2020-04-19,737534,207.0,147,0,143.57142857142858
2020-04-20,737535,204.0,153,0,153.0
2020-04-21,737536,225.0,121,0,152.14285714285714
2020-04-22,737537,225.0,225,0,160.57142857142858
2020-04-23,737538,236.0,207,0,168.14285714285714
2020-04-24,737539,257.0,304,0,187.28571428571428
2020-04-25,737540,253.0,331,0,212.57142857142858
2020-04-26,737541,248.0,224,0,223.57142857142858
2020-04-27,737542,197.0,170,0,226.0
2020-04-28,737543,220.0,208,0,238.42857142857142
2020-04-29,737544,424.0,231,0,239.28571428571428
2020-04-30,737545,426.0,334,0,257.42857142857144
2020-05-01,737546,481.0,460,0,279.7142857142857
2020-05-02,737547,452.0,346,0,281.85714285714283
2020-05-03,737548,439.0,304,0,293.2857142857143
2020-05-04,737549,435.0,272,0,307.85714285714283
2020-05-05,737550,404.0,330,0,325.2857142857143
2020-05-06,737551,424.0,335,0,340.14285714285717
2020-05-07,737552,466.0,314,0,337.2857142857143
2020-05-08,737553,476.0,375,0,325.14285714285717
2020-05-09,737554,441.0,349,0,325.57142857142856
2020-05-10,737555,412.0,280,0,322.14285714285717
2020-05-11,737556,474.0,199,0,311.7142857142857
2020-05-12,737557,466.0,193,0,292.14285714285717
2020-05-13,737558,495.0,291,0,285.85714285714283
2020-05-14,737559,469.0,373,0,294.2857142857143
2020-05-15,737560,506.0,410,0,299.2857142857143
2020-05-16,737561,478.0,502,0,321.14285714285717
2020-05-17,737562,492.0,356,0,332.0
2020-05-18,737563,560.0,144,0,324.14285714285717
