date,day_number,beds,cases,vaccines,cases_7day
2020-04-11,737526,13361.0,4022,0,4536.0
2020-04-12,737527,13443.0,3336,0,4429.428571428572
2020-04-13,737528,13909.0,2782,0,4297.142857142857
2020-04-14,737529,14126.0,3475,0,4263.714285714285
2020-04-15,737530,14067.0,3734,0,3994.8571428571427
2020-04-16,737531,13419.0,3661,0,3746.8571428571427
2020-04-17,737532,13038.0,3152,0,3451.714285714286
2020-04-18,737533,12838.0,3258,0,3342.5714285714284
2020-04-19,737534,12496.0,2802,0,3266.285714285714
2020-04-20,737535,12507.0,2356,0,3205.4285714285716
2020-04-21,737536,12335.0,1659,0,2946.0
2020-04-22,737537,13005.0,2419,0,2758.1428571428573
2020-04-23,737538,12461.0,2821,0,2638.1428571428573
2020-04-24,737539,12009.0,3512,0,2689.5714285714284
2020-04-25,737540,11657.0,5913,0,3068.8571428571427
2020-04-26,737541,11453.0,2757,0,3062.4285714285716
2020-04-27,737542,11037.0,1720,0,2971.5714285714284
2020-04-28,737543,10736.0,1261,0,2914.714285714286
2020-04-29,737544,10137.0,2082,0,2866.5714285714284
2020-04-30,737545,9662.0,2044,0,2755.5714285714284
2020-05-01,737546,9229.0,1730,0,2501.0
2020-05-02,737547,8802.0,1999,0,1941.857142857143
2020-05-03,737548,8648.0,1461,0,1756.7142857142858
2020-05-04,737549,8591.0,1218,0,1685.0
2020-05-05,737550,8434.0,1016,0,1650.0
2020-05-06,737551,7942.0,1309,0,1539.5714285714287
2020-05-07,737552,7469.0,1626,0,1479.857142857143
2020-05-08,737553,7049.0,1371,0,1428.5714285714287
2020-05-09,737554,6798.0,1209,0,1315.7142857142858
2020-05-10,737555,6674.0,1145,0,1270.5714285714287
2020-05-11,737556,6763.0,720,0,1199.4285714285713
2020-05-12,737557,8237.0,664,0,1149.142857142857
2020-05-13,737558,8040.0,1049,0,1112.0
2020-05-14,737559,7875.0,1095,0,1036.142857142857
2020-05-15,737560,7758.0,950,0,976.0
2020-05-16,737561,7580.0,1176,0,971.2857142857143
2020-05-17,737562,5966.0,896,0,935.7142857142857
2020-05-18,737563,6110.0,613,0,920.4285714285714
2020-05-19,737564,5781.0,883,0,951.7142857142857
2020-05-20,737565,5580.0,796,0,915.5714285714286
2020-05-21,737566,5308.0,963,0,896.7142857142857
2020-05-22,737567,5056.0,887,0,887.7142857142857
2020-05-23,737568,4746.0,990,0,861.1428571428571
2020-05-24,737569,4659.0,732,0,837.7142857142857
2020-05-25,737570,4690.0,641,0,841.7142857142857
2020-05-26,737571,4708.0,502,0,787.2857142857143
2020-05-27,737572,4516.0,462,0,739.5714285714286
2020-05-28,737573,4172.0,685,0,699.8571428571429
2020-05-29,737574,4036.0,603,0,659.2857142857143
2020-05-30,737575,3939.0,624,0,607.0
2020-05-31,737576,3903.0,558,0,582.1428571428571
2020-06-01,737577,3836.0,480,0,559.1428571428571
2020-06-02,737578,3805.0,716,0,589.7142857142857
2020-06-03,737579,3970.0,550,0,602.2857142857143
2020-06-04,737580,4261.0,514,0,577.8571428571429
2020-06-05,737581,4166.0,541,0,569.0
2020-06-06,737582,3989.0,537,0,556.5714285714286
2020-06-07,737583,3720.0,323,0,523.0
2020-06-08,737584,3363.0,318,0,499.85714285714283
2020-06-09,737585,3001.0,343,0,446.57142857142856
2020-06-10,737586,2835.0,249,0,403.57142857142856
2020-06-11,737587,2772.0,337,0,378.2857142857143
2020-06-12,737588,2638.0,385,0,356.0
2020-06-13,737589,2530.0,377,0,333.14285714285717
2020-06-14,737590,2322.0,309,0,331.14285714285717
2020-06-15,737591,4476.0,239,0,319.85714285714283
2020-06-16,737592,4318.0,299,0,313.57142857142856
2020-06-17,737593,4183.0,217,0,309.0
2020-06-18,737594,4160.0,299,0,303.57142857142856
2020-06-19,737595,4002.0,386,0,303.7142857142857
2020-06-20,737596,3149.0,325,0,296.2857142857143
2020-06-21,737597,3309.0,279,0,292.0
2020-06-22,737598,1942.0,257,0,294.57142857142856
2020-06-23,737599,1922.0,282,0,292.14285714285717
2020-06-24,737600,1902.0,289,0,302.42857142857144
2020-06-25,737601,1851.0,398,0,316.57142857142856
2020-06-26,737602,1751.0,434,0,323.42857142857144
